"date_set","si"
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",-2
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",21
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",20
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",20
"Jan 9 - Jan 22",-1
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",21
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",24
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",4
